x,y,label,class_name
26.716562,19.955202,0,1 Very Mild
-54.804493,-30.74976,3,Normal
-30.846283,7.1468964,3,Normal
1.1575123,8.987121,2,3 Moderate
-54.009285,-35.902283,3,Normal
-0.8208729,-61.920967,3,Normal
3.8622189,-61.225956,0,1 Very Mild
6.50318,-63.346672,3,Normal
-45.720036,31.504633,3,Normal
-15.5798435,61.48618,3,Normal
-60.161057,18.149778,3,Normal
-41.054592,21.266714,3,Normal
-30.567274,49.50051,3,Normal
-21.939726,36.786736,3,Normal
53.54923,35.363243,0,1 Very Mild
-16.562721,53.826344,3,Normal
-1.4815941,15.21924,2,3 Moderate
31.496267,20.046913,3,Normal
30.628012,33.75763,1,2 Mild
24.293007,12.979256,3,Normal
6.06505,-23.783144,1,2 Mild
22.531693,-49.524586,3,Normal
-22.011465,-9.255058,3,Normal
15.269175,-50.666695,3,Normal
-22.46728,-12.972297,3,Normal
42.09705,-5.929783,3,Normal
7.3042026,-54.15355,2,3 Moderate
-0.86090267,-55.13936,0,1 Very Mild
23.35463,-13.04502,0,1 Very Mild
34.507305,7.181973,3,Normal
56.31091,5.388999,1,2 Mild
40.2391,-19.49286,3,Normal
59.32883,39.645664,0,1 Very Mild
-28.778133,-32.43979,3,Normal
26.716688,-0.315051,3,Normal
-52.802666,25.880842,3,Normal
-39.5967,-0.46398887,3,Normal
55.964622,29.18924,0,1 Very Mild
-29.730303,40.897556,3,Normal
42.368397,7.954111,0,1 Very Mild
18.890528,-21.680319,0,1 Very Mild
34.057983,-30.233461,3,Normal
-64.76112,30.70509,3,Normal
0.16438666,-65.993576,3,Normal
-79.25603,-2.6121898,3,Normal
24.614544,25.792435,3,Normal
22.423351,-49.51028,3,Normal
41.532135,-18.082897,1,2 Mild
26.761229,-56.415253,3,Normal
14.27848,31.048792,0,1 Very Mild
-47.185875,-45.29187,3,Normal
25.565619,-45.3417,3,Normal
24.500841,-51.76258,0,1 Very Mild
-12.961558,56.597862,3,Normal
-50.593204,-29.265862,3,Normal
14.439176,-52.568035,3,Normal
-0.20662186,-46.71337,1,2 Mild
-34.96688,31.145626,3,Normal
-70.216286,24.947634,3,Normal
45.643303,46.940342,0,1 Very Mild
-76.5618,-6.894364,3,Normal
16.387266,-21.759054,1,2 Mild
24.609312,-62.96318,3,Normal
24.324398,30.040596,3,Normal
8.379468,-38.029644,3,Normal
-32.65545,1.8455927,3,Normal
40.57721,8.672468,0,1 Very Mild
32.598717,-35.650158,3,Normal
37.582886,-32.670315,3,Normal
-63.81681,-24.04284,3,Normal
-26.260891,-34.0433,3,Normal
2.318684,-33.493416,0,1 Very Mild
-71.471924,26.018713,3,Normal
-17.075798,17.121887,3,Normal
40.666153,9.978408,0,1 Very Mild
43.499374,-18.297308,1,2 Mild
-1.5492826,-26.062195,3,Normal
-19.418007,60.39067,3,Normal
46.679737,39.23986,3,Normal
14.619226,-63.23285,3,Normal
-17.07869,17.188442,3,Normal
-41.980354,-41.50343,3,Normal
-16.622257,-2.8125725,3,Normal
-62.0114,25.445177,3,Normal
-62.894146,29.872501,3,Normal
28.34826,44.285503,0,1 Very Mild
-38.216328,-3.9490862,3,Normal
-45.380733,-41.563805,3,Normal
-26.813108,5.6372743,3,Normal
-61.343563,20.611053,3,Normal
28.49135,-7.0612116,3,Normal
20.805605,-21.487833,3,Normal
60.381832,25.513283,2,3 Moderate
43.93143,45.76827,0,1 Very Mild
54.826027,-1.1251876,3,Normal
53.90745,27.785013,0,1 Very Mild
58.27422,40.600285,0,1 Very Mild
21.390118,18.631506,3,Normal
-50.021423,-7.8135524,3,Normal
-21.388506,-29.86354,3,Normal
1.0330415,-44.61218,3,Normal
-2.7664742,14.968881,2,3 Moderate
32.864502,11.258744,0,1 Very Mild
29.3774,-25.415718,0,1 Very Mild
-32.536964,22.654104,3,Normal
43.954533,30.406168,3,Normal
-51.587536,-8.953068,3,Normal
41.07836,-0.5230502,3,Normal
-23.749012,-30.88841,3,Normal
-24.680899,26.945414,3,Normal
-28.323938,-37.446754,3,Normal
39.692406,-6.6844234,0,1 Very Mild
-23.238386,-35.586548,3,Normal
-30.301056,28.327658,3,Normal
-29.90613,9.381407,3,Normal
9.861131,-14.376802,1,2 Mild
48.487274,-23.728128,3,Normal
20.944736,4.671843,3,Normal
-53.776844,-28.092209,3,Normal
12.079618,-55.14796,0,1 Very Mild
-0.9006877,8.982261,2,3 Moderate
41.05246,-39.09055,0,1 Very Mild
33.07526,0.04923863,3,Normal
-13.109465,62.36679,3,Normal
14.60752,-12.910958,0,1 Very Mild
-62.3901,23.468676,3,Normal
16.085615,-59.34991,3,Normal
-30.446636,-37.55734,3,Normal
-25.300291,-36.39998,3,Normal
8.354073,-40.482853,3,Normal
-12.052709,51.98176,3,Normal
-26.024696,6.2308555,3,Normal
44.61079,-3.7381375,0,1 Very Mild
36.272434,2.9089801,0,1 Very Mild
-1.6776518,16.305225,2,3 Moderate
-39.82754,19.221664,3,Normal
44.262123,38.604046,1,2 Mild
-32.17888,51.62693,3,Normal
33.69169,-31.411598,3,Normal
11.444527,35.509605,3,Normal
-33.915787,3.898999,3,Normal
21.18437,-51.7851,0,1 Very Mild
-8.072942,35.5947,3,Normal
-20.69062,16.210732,3,Normal
-32.734146,-42.385532,3,Normal
-19.60863,-34.917442,3,Normal
-63.974907,23.176197,3,Normal
-62.7276,18.323765,3,Normal
-3.0076888,6.6869926,2,3 Moderate
46.777096,17.456463,3,Normal
26.858936,44.194195,3,Normal
-27.828724,52.36336,3,Normal
45.36546,1.5035305,1,2 Mild
-41.36355,-34.571564,3,Normal
14.763272,-47.439564,0,1 Very Mild
-79.96892,-0.10121147,3,Normal
30.883911,14.588722,1,2 Mild
21.133839,37.927315,0,1 Very Mild
-35.620358,39.523804,3,Normal
30.77544,39.28025,3,Normal
-46.168674,-40.754845,3,Normal
56.29004,38.80682,1,2 Mild
-24.283325,-35.437614,3,Normal
25.069809,-42.19984,0,1 Very Mild
-62.996685,28.034458,3,Normal
-27.609737,4.6746674,3,Normal
-49.68894,-4.103179,3,Normal
-38.377613,25.535366,3,Normal
3.3791137,-60.396614,0,1 Very Mild
9.497579,-43.902267,1,2 Mild
41.384563,29.896141,1,2 Mild
-2.9043353,13.422564,2,3 Moderate
38.5994,-31.760263,3,Normal
46.545403,10.35573,0,1 Very Mild
31.808308,-27.491558,3,Normal
47.802574,-0.62741494,3,Normal
4.021686,-18.926775,1,2 Mild
-49.379704,-32.629066,3,Normal
26.301888,50.56052,0,1 Very Mild
-17.207422,38.95231,3,Normal
23.263409,-24.750715,0,1 Very Mild
-65.232765,-25.19738,3,Normal
57.241096,15.78746,0,1 Very Mild
38.13199,22.601496,0,1 Very Mild
-55.5557,23.703033,3,Normal
-69.94014,7.68669,3,Normal
15.94784,5.1496253,3,Normal
63.7325,29.692421,0,1 Very Mild
-27.785295,53.213955,3,Normal
-37.30249,1.3415177,3,Normal
-45.961975,-27.197695,3,Normal
-3.0961168,9.705296,2,3 Moderate
13.63414,-31.763443,3,Normal
43.14279,1.483745,1,2 Mild
-17.525627,21.821745,3,Normal
23.539984,-19.773058,3,Normal
51.19822,25.719423,0,1 Very Mild
-33.51458,-23.520266,3,Normal
52.898235,18.733685,0,1 Very Mild
57.592953,34.815422,0,1 Very Mild
20.981432,7.559624,3,Normal
-14.283807,26.167961,3,Normal
4.614806,-59.65149,3,Normal
35.527763,-12.591498,3,Normal
1.2786202,2.4566953,2,3 Moderate
-54.78874,31.019375,3,Normal
46.87904,25.683897,0,1 Very Mild
-27.53351,40.687134,3,Normal
-35.679974,42.318836,3,Normal
42.880478,27.16553,3,Normal
-0.6325272,17.322336,2,3 Moderate
41.17603,27.223988,1,2 Mild
0.5892304,-69.012375,3,Normal
-20.79213,54.76955,3,Normal
20.740118,30.501513,3,Normal
45.14055,1.0374745,1,2 Mild
56.416344,34.630768,1,2 Mild
-42.039356,-39.89296,3,Normal
14.457351,-6.969643,3,Normal
42.49513,24.30428,3,Normal
27.944593,19.669495,3,Normal
35.94457,-27.038616,3,Normal
-29.9033,40.650883,3,Normal
11.880867,-51.19161,0,1 Very Mild
33.382324,38.094635,2,3 Moderate
16.97799,-21.094065,1,2 Mild
-42.740944,33.836857,3,Normal
-22.383078,28.006521,3,Normal
24.14052,-32.212048,3,Normal
20.92924,-18.846865,3,Normal
42.131416,36.203304,3,Normal
57.65169,0.58656275,3,Normal
63.937515,17.815016,0,1 Very Mild
-49.770348,47.703465,3,Normal
18.899162,-43.251003,1,2 Mild
17.871988,-48.043938,0,1 Very Mild
0.14531039,9.641625,2,3 Moderate
-24.674349,-36.657646,3,Normal
23.724207,-7.079699,3,Normal
-35.086227,21.338774,3,Normal
50.09612,7.721498,3,Normal
2.8181555,-44.60059,1,2 Mild
-21.37086,-12.458911,3,Normal
-43.00123,-23.158186,3,Normal
50.541183,34.702286,3,Normal
-51.269775,46.8903,3,Normal
-28.322542,-33.48024,3,Normal
23.513613,45.4951,3,Normal
21.634243,-8.052546,0,1 Very Mild
48.530727,31.153183,3,Normal
40.19847,-10.509336,3,Normal
40.90658,-33.602726,1,2 Mild
16.428972,14.9904,0,1 Very Mild
-34.889103,2.2567453,3,Normal
44.958958,-29.466505,0,1 Very Mild
41.14123,1.4985158,3,Normal
62.79991,40.1614,1,2 Mild
-4.0819383,-56.8748,1,2 Mild
27.152143,-11.301836,0,1 Very Mild
0.5716636,-52.40072,3,Normal
27.273355,13.897233,3,Normal
13.775764,-29.189781,0,1 Very Mild
35.582188,-12.55244,3,Normal
0.35200503,-26.822353,1,2 Mild
23.126135,-27.093702,0,1 Very Mild
37.259857,18.74643,0,1 Very Mild
22.9245,45.67704,3,Normal
36.767246,9.049832,0,1 Very Mild
3.4760294,4.7002263,2,3 Moderate
-40.675514,-38.450157,3,Normal
28.798733,17.2804,3,Normal
-34.198917,-41.46927,3,Normal
14.749067,-44.940678,0,1 Very Mild
20.061062,44.642937,3,Normal
37.878994,26.88472,0,1 Very Mild
-66.954384,24.939796,3,Normal
15.933884,-58.1017,3,Normal
31.155107,-9.718166,3,Normal
15.077797,-56.291817,0,1 Very Mild
2.0321758,-58.506027,3,Normal
25.704107,-31.5525,0,1 Very Mild
-44.22662,31.098263,3,Normal
-40.500202,27.009733,3,Normal
-16.938648,-3.5265648,3,Normal
12.72609,-13.05198,1,2 Mild
50.53734,32.080032,3,Normal
33.004063,21.84507,0,1 Very Mild
-35.761486,28.000317,3,Normal
-22.81883,-9.32364,3,Normal
-12.610113,58.189606,3,Normal
59.210754,43.517452,0,1 Very Mild
26.123608,-36.816246,3,Normal
-51.730267,49.837997,3,Normal
-15.583948,40.35023,3,Normal
47.754627,19.714901,1,2 Mild
37.3308,-41.520615,0,1 Very Mild
35.45866,-6.5337934,0,1 Very Mild
-48.06869,33.15115,3,Normal
1.0206239,-44.771614,3,Normal
-51.14998,-38.992657,3,Normal
24.000423,-19.659487,3,Normal
36.509388,36.960735,0,1 Very Mild
9.217918,-67.39292,3,Normal
-45.276382,-32.88064,3,Normal
-47.62703,39.24968,3,Normal
-50.37903,-4.3154945,3,Normal
-16.116888,41.508427,3,Normal
-34.7617,-4.083535,3,Normal
1.1124558,2.5514214,2,3 Moderate
5.666352,-29.523428,3,Normal
-47.63999,39.192238,3,Normal
49.947285,44.95479,3,Normal
-2.736341,-62.532726,0,1 Very Mild
1.9428091,3.8427925,2,3 Moderate
17.290964,-41.8544,3,Normal
14.035978,-49.33849,0,1 Very Mild
40.65861,-8.607195,1,2 Mild
-21.551933,-14.257391,3,Normal
37.31806,11.922617,0,1 Very Mild
-16.71687,-4.610379,3,Normal
-73.2644,1.85108,3,Normal
51.921577,17.369345,0,1 Very Mild
36.162807,-22.351618,3,Normal
-63.201202,22.034512,3,Normal
-41.00476,21.227283,3,Normal
-37.442577,0.77005595,3,Normal
37.12555,-8.316554,3,Normal
45.445568,44.622303,1,2 Mild
45.521503,25.465986,0,1 Very Mild
4.95384,-26.125942,0,1 Very Mild
6.9147186,-63.89291,3,Normal
-19.74284,56.182045,3,Normal
-80.77628,0.43635428,3,Normal
22.265205,-8.433274,3,Normal
-40.196224,38.820198,3,Normal
29.579681,10.278545,0,1 Very Mild
20.07274,-7.0145,3,Normal
-29.653286,22.278797,3,Normal
-21.806812,-13.95024,3,Normal
-13.022451,47.90564,3,Normal
-18.877499,-5.759469,3,Normal
-17.131157,32.884583,3,Normal
3.1731088,-68.20931,3,Normal
4.8576617,10.16844,2,3 Moderate
-32.833523,28.666534,3,Normal
62.917873,17.560007,0,1 Very Mild
11.660808,-64.773384,3,Normal
44.654896,-6.674092,3,Normal
59.91015,29.15025,1,2 Mild
-31.00634,-35.34258,3,Normal
6.3979726,-57.606327,3,Normal
38.602665,-4.968028,1,2 Mild
44.877872,31.579775,0,1 Very Mild
59.573673,33.126995,3,Normal
-49.47949,47.616436,3,Normal
13.281582,32.497757,3,Normal
-51.808987,49.927925,3,Normal
32.995247,41.739845,1,2 Mild
-18.613388,36.475513,3,Normal
28.191362,-12.3558855,0,1 Very Mild
-30.715027,16.678131,3,Normal
-16.004192,-6.029341,3,Normal
52.84494,12.126321,0,1 Very Mild
-55.439182,23.355083,3,Normal
-40.758892,1.4561272,3,Normal
-25.26753,18.445961,3,Normal
8.333702,-47.71433,2,3 Moderate
